row_from_station,id,name,rating,review_count,latitude,longitude
1,ctNVGh_5lE6oiu3GQhmd3Q,Square Saint-Louis,4.5,25,45.516898,-73.570043
1,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
1,sK3Rb2TyDZQBhwu5l3sezw,Place Jacques-Cartier,4.0,13,45.5109183239064,-73.5527801513672
1,lmQg96Lly7OGsbrrum03rA,Esplanade Tranquille,4.5,3,45.50959694958091,-73.56495368834328
1,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
1,LdQN_8NbaY6HnpF5s5S_CQ,Place de la Paix,3.5,3,45.5094184184441,-73.5621623474797
1,_zggEtQsC5PCqdpck_0-hA,Parc de l'Espoir,3.0,2,45.5198097243763,-73.5547703550871
2,SFfxEloUrricg46FiCDuow,Parc du Pélican,5.0,1,45.5441365,-73.5773434
2,oeSBcrJ_2DkrLuPx3mKaWw,Parc Baldwin,5.0,2,45.5369098199692,-73.567233816121
2,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
2,tDLM0PBHPztFPdA-1sWm1w,Parc des Compagnons de Saint-Laurent,3.0,1,45.533625426629,-73.5736899382844
4,cTSDnDNJmroHdckIlXS6Uw,Parc Beaudet,4.0,1,45.5092585726893,-73.6755440143675
7,f5n80cAqIt6DKFcJhN6FwA,Parc Saint-Paul-de-la-Croix,5.0,1,45.560562,-73.651804
10,rbMv98n8gdPhkwxUPyVEhA,Midtown Athletic Club,2.0,18,45.5108993,-73.6218456
11,O09FumZ_qsVUBYgGgPnysA,Parc des Rapides,4.0,6,45.429112,-73.593104
11,EsnNN8z_p7zmkCyqjfMG6g,Parc Leroux,4.0,1,45.4347153,-73.5969543
11,m7t5v8KhTBQ4EzG-cYw_pg,Parc de l'Honorable-George-O'Reilly,5.0,4,45.4366215184118,-73.5831947252154
16,sfLKlCSniopU8ml12lFb-Q,Ile des Soeurs // Nun's Island,3.5,3,45.4615233,-73.5463761
17,RsEmBcPXPJOP9SlAMnVrYw,Parc Morgan,5.0,2,45.5511733295307,-73.5324260420405
17,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
17,UzEetXSLYR9jACmfxJVeQA,Le Centre Sportif du Parc Olympique,5.0,6,45.559724,-73.551317
17,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
17,0oCGV2HsYTB3TcCdFRFeXw,La Tour de Montréal,4.0,43,45.55954571090903,-73.55213435453454
18,G_05ZI4Vpl4bxjjZR11jEQ,Jardin Botanique de Montréal,4.5,256,45.560055,-73.56339
18,C8omhqzhieLXtqixxNYQpw,Parc Maisonneuve,4.5,7,45.5613319,-73.5547523
18,UzEetXSLYR9jACmfxJVeQA,Le Centre Sportif du Parc Olympique,5.0,6,45.559724,-73.551317
18,kKC4A895XcoEzJDVlEMlJQ,Jardins de Lumière,4.0,16,45.5565462,-73.5546013
18,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
18,0oCGV2HsYTB3TcCdFRFeXw,La Tour de Montréal,4.0,43,45.55954571090903,-73.55213435453454
19,m__DTuXsxXxEJfMSFgPvSQ,Parc Pratt,4.0,1,45.514029,-73.618586
19,8hiENty3U7qS5X-jFGzA9g,Parc Jean-Brillant,3.0,1,45.4972708,-73.61983847565978
19,rbMv98n8gdPhkwxUPyVEhA,Midtown Athletic Club,2.0,18,45.5108993,-73.6218456
20,sK3Rb2TyDZQBhwu5l3sezw,Place Jacques-Cartier,4.0,13,45.5109183239064,-73.5527801513672
20,Wkw2h5UYaGbXsq9si0vWxw,Place Jean-Paul Riopelle,4.5,4,45.5032781324417,-73.5610858306048
20,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
20,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
20,lmQg96Lly7OGsbrrum03rA,Esplanade Tranquille,4.5,3,45.50959694958091,-73.56495368834328
20,95mPSpkFItM0q3JBp9LF8g,Square Phillips,4.0,3,45.5041909,-73.5688404
20,7I0dcSeA5ooDeOzLpFQaxw,Place Jean-Paul Riopelle,4.0,1,45.5032,-73.56184
20,4l-WPXmsW0ZIiJ2BDERQrw,Place Sun Yat-Sen,3.0,3,45.507848333883565,-73.56043250092497
20,l_sRGvWhKA4Ic7g6DhasZw,Parc Linéaire de la Commune,5.0,1,45.504394,-73.552635
20,LdQN_8NbaY6HnpF5s5S_CQ,Place de la Paix,3.5,3,45.5094184184441,-73.5621623474797
20,J_LRxEQGytnIK4lzdZXjlA,Parc de Dieppe,4.5,2,45.4995,-73.54443
20,sVRAov4IFK9vH_EF6qpnEw,Belvédère du Chemin-Qui-Marche,5.0,1,45.513191,-73.548732
21,GQpPwAKp_z7Xdh67rrCd3g,Parc la Fontaine,4.5,55,45.52705446977039,-73.56946468220876
21,cBoJ15PBegzOiL4obydb6g,Place des Fleurs-de-Macadam,5.0,1,45.52706,-73.57971
21,q1ZVPfzwY6mqDJBMIxjdqA,Parc des Amériques,4.0,5,45.51837580384327,-73.58178797791074
21,VjiZ0hf5u0DqpAa0UfCQOg,Parc du Portugal,4.0,4,45.52099,-73.58233
21,tDLM0PBHPztFPdA-1sWm1w,Parc des Compagnons de Saint-Laurent,3.0,1,45.533625426629,-73.5736899382844
24,E14VLV7RMLpoLhEVpPVQcQ,Vieux-Port de Montréal,4.5,113,45.4999814,-73.5533775
24,sK3Rb2TyDZQBhwu5l3sezw,Place Jacques-Cartier,4.0,13,45.5109183239064,-73.5527801513672
24,Wkw2h5UYaGbXsq9si0vWxw,Place Jean-Paul Riopelle,4.5,4,45.5032781324417,-73.5610858306048
24,mqxddLiYeUp7IM9wHhUF-w,Place Émilie-Gamelin,4.0,18,45.515356079472426,-73.56000363497009
24,7I0dcSeA5ooDeOzLpFQaxw,Place Jean-Paul Riopelle,4.0,1,45.5032,-73.56184
24,l_sRGvWhKA4Ic7g6DhasZw,Parc Linéaire de la Commune,5.0,1,45.504394,-73.552635
24,lmQg96Lly7OGsbrrum03rA,Esplanade Tranquille,4.5,3,45.50959694958091,-73.56495368834328
24,4l-WPXmsW0ZIiJ2BDERQrw,Place Sun Yat-Sen,3.0,3,45.507848333883565,-73.56043250092497
24,pZLKYd4glk9ow2_sUfVLtg,Centre de plein air de l'UQAM,4.5,3,45.5118993,-73.5596455
24,LdQN_8NbaY6HnpF5s5S_CQ,Place de la Paix,3.5,3,45.5094184184441,-73.5621623474797
24,J_LRxEQGytnIK4lzdZXjlA,Parc de Dieppe,4.5,2,45.4995,-73.54443
24,sVRAov4IFK9vH_EF6qpnEw,Belvédère du Chemin-Qui-Marche,5.0,1,45.513191,-73.548732
24,iADEKQUoAJoK9llrj1cEtg,Habitat 67,4.5,14,45.4989891,-73.5441818
25,B5M9YOd2UazHYBrlv7xPLQ,Parc Jean-Drapeau,4.0,45,45.5123659958791,-73.5342813439331
27,UrpvK6pAHaMQTsgI-op6qg,Trenholme Park,3.5,4,45.46091988128953,-73.63232268220892
28,n3XqT5LikeUreX9WFDZZdw,Parc Arthur-Therrien,3.5,2,45.46624,-73.56235
28,cIOl4h1Jyh8wj6Trl9IbCA,Parc Marguerite-Bourgeoys,4.0,1,45.47517858954719,-73.55888891871605
28,ot03_z5esKhEoGXdiud6Mw,Parc Hibernia,4.0,1,45.4787282245199,-73.5647185180584
28,g8aCakgoTC9ArLnZwRqwvg,Parc Saint-Gabriel,4.0,1,45.47784851054346,-73.56640822944779
28,xcHUhWgOZBjC3NC-_igYhQ,Parc Champion du Parc Arthur-Therrien,2.0,1,45.4687120776599,-73.5591041296721
30,m7t5v8KhTBQ4EzG-cYw_pg,Parc de l'Honorable-George-O'Reilly,5.0,4,45.4366215184118,-73.5831947252154
30,EsnNN8z_p7zmkCyqjfMG6g,Parc Leroux,4.0,1,45.4347153,-73.5969543
30,8KSAQCNTdGu7LIL0aRaP2A,Parc Angrignon,4.5,11,45.444536,-73.601743
32,dpPBAQ367iSjk5UGjp-GiA,Parc Ahuntsic,5.0,1,45.5555979525281,-73.6640596389771
32,f5n80cAqIt6DKFcJhN6FwA,Parc Saint-Paul-de-la-Croix,5.0,1,45.560562,-73.651804
35,9FHSxYFiIZy2KHG5Kxh-cw,Parc Frédéric-Back,4.0,1,45.5581117317277,-73.6212652308504
36,G_05ZI4Vpl4bxjjZR11jEQ,Jardin Botanique de Montréal,4.5,256,45.560055,-73.56339
36,C8omhqzhieLXtqixxNYQpw,Parc Maisonneuve,4.5,7,45.5613319,-73.5547523
36,kKC4A895XcoEzJDVlEMlJQ,Jardins de Lumière,4.0,16,45.5565462,-73.5546013
36,UzEetXSLYR9jACmfxJVeQA,Le Centre Sportif du Parc Olympique,5.0,6,45.559724,-73.551317
36,JZK-VeRbqWBOxnwFzcBCQA,Place Simon-Valois,4.0,2,45.5474079240433,-73.5437272830505
36,CAvcnYjwBmi_lHZ3SJ7wfw,Parc Olympique de Montréal,3.5,51,45.555932,-73.551005
36,0oCGV2HsYTB3TcCdFRFeXw,La Tour de Montréal,4.0,43,45.55954571090903,-73.55213435453454
37,G_05ZI4Vpl4bxjjZR11jEQ,Jardin Botanique de Montréal,4.5,256,45.560055,-73.56339
37,C8omhqzhieLXtqixxNYQpw,Parc Maisonneuve,4.5,7,45.5613319,-73.5547523
38,Zg0M7R4M11_WgxXv5B8inw,Parc Summerlea,4.5,2,45.4383505395532,-73.7174951618142
40,uzbtd56fVX7q5wP8R2UTOw,Domaine Saint-Paul,5.0,1,45.4567367175017,-73.55231954926846
40,Wv1xL-25Evl9lFzlvq9YwQ,Parc de West Vancouver,5.0,2,45.4575864758994,-73.5417486544861
40,sfLKlCSniopU8ml12lFb-Q,Ile des Soeurs // Nun's Island,3.5,3,45.4615233,-73.5463761
41,MrU79j6c5w0R2R6JGbq9lA,Parc Baile,5.0,1,45.4913051807055,-73.5792804621262
41,YHzICm0oNGf4bIdFmIeBEg,Parc Joe-Beef,3.5,3,45.484304,-73.560266
41,Qhn1mID7QRo-7zfksm3IbQ,Parc Sainte-Cunégonde,5.0,1,45.482397,-73.576478
41,Gh_ynOR3MyWPvZJZnroP7g,Entrée de Ville Bonaventure,4.0,2,45.497226,-73.559131
41,_wAroYyk-MvUXBSxt2ic-Q,Parc Atwater,4.0,1,45.483844,-73.579631
46,Qhn1mID7QRo-7zfksm3IbQ,Parc Sainte-Cunégonde,5.0,1,45.482397,-73.576478
46,H0seMhx8iw6OQ5MQu5nieA,Parc Saint-Henri,4.0,1,45.4801535648346,-73.5866179772601
46,6E8O9MaApSr6rSQ8QpxiVg,Parc Sir-George-Étienne-Cartier,4.0,1,45.4733929483447,-73.5864087212262
46,_wAroYyk-MvUXBSxt2ic-Q,Parc Atwater,4.0,1,45.483844,-73.579631
46,wkli_g-HrcQIudeeOqgoWA,Square Sir George Etienne Cartier,5.0,1,45.4740046,-73.5875379
46,g8aCakgoTC9ArLnZwRqwvg,Parc Saint-Gabriel,4.0,1,45.47784851054346,-73.56640822944779
47,Qef-97MEmJURqdm8ughrYg,Parc Percy-Walters,3.5,6,45.4988959268937,-73.5846508294344
47,MrU79j6c5w0R2R6JGbq9lA,Parc Baile,5.0,1,45.4913051807055,-73.5792804621262
47,rbxfJN6fVoMqn82FxAmUJg,Lac aux Castors,3.5,5,45.4988179,-73.5973997
47,40TZ3gk6eG_xOVFOZ2YgCg,Jardins Queen-Elizabeth,4.0,1,45.4448815,-73.7050391
47,Qhn1mID7QRo-7zfksm3IbQ,Parc Sainte-Cunégonde,5.0,1,45.482397,-73.576478
47,_wAroYyk-MvUXBSxt2ic-Q,Parc Atwater,4.0,1,45.483844,-73.579631
49,arZmovVrgkph_n44zo50Wg,Parc Raymond-Préfontaine,3.0,1,45.5416659884584,-73.5525928518196
49,oeSBcrJ_2DkrLuPx3mKaWw,Parc Baldwin,5.0,2,45.5369098199692,-73.567233816121
56,Zg0M7R4M11_WgxXv5B8inw,Parc Summerlea,4.5,2,45.4383505395532,-73.7174951618142
