station_no,name,empty_slots,free_bikes,slots,latitude,longitude,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
0,Cégep Marie-Victorin,9,2,11,45.617499783128075,-73.60601127147675,,,,7.6,11.0,3.0
1,Gare d'autocars de Montréal (Berri / Ontario),0,11,15,45.516926210319546,-73.56425732374191,4.0,67.0,7.0,,,
2,Molson / William-Tremblay,12,2,15,45.54154850456526,-73.56501236557959,4.0,5.0,4.0,6.7,10.0,1.0
3,Ateliers municipaux de St-Laurent (Cavendish / Poirier),4,13,19,45.506175841460966,-73.71118605136871,,,,,,
4,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),9,11,25,45.5129938566323,-73.68249848484993,4.0,1.0,1.0,8.3,51.0,1.0
5,Centre des loisirs (Tassé / Grenet),10,4,15,45.51473429416659,-73.69144901633263,,,,8.733333333333333,836.0,3.0
6,Parc Marlborough (Beauzèle / Robichaud),12,1,15,45.52234149817879,-73.72167885303497,,,,,0.0,3.0
7,Champdoré / de Lorimier,0,12,15,45.566869345371856,-73.64101678133011,5.0,1.0,1.0,9.5,258.0,1.0
8,Parc Villeray (Christophe-Colomb / Jarry),10,5,15,45.54813638885782,-73.62434014678001,,,,,,
9,Beurling / Godin,14,5,19,45.44791581215845,-73.58381867408752,,,,7.533333333333334,31.0,3.0
10,Kirkfield / de Chambois,11,15,27,45.51293324107222,-73.63389015197754,2.0,18.0,1.0,,,
11,Parc des Rapides (LaSalle / 6e avenue),15,6,23,45.42947143740888,-73.59309915918857,4.333333333333333,11.0,3.0,,,
12,Métro Longueuil - Université de Sherbrooke,18,12,35,45.52331869398737,-73.52012693881989,,,,,0.0,1.0
13,St-Charles / Montarville,7,8,15,45.53368199320325,-73.51526074111462,,,,,,
14,Collège Édouard-Montpetit (de Gentilly / de Normandie),13,4,18,45.53722603812578,-73.49506705999374,,,,7.1,21.0,1.0
15,Place Longueuil,1,11,15,45.52841043752244,-73.51716578006744,,,,9.0,51.0,2.0
16,Place du Commerce,30,0,33,45.46714,-73.54259,3.5,3.0,1.0,,,
17,Marché Maisonneuve,17,4,22,45.55321884238814,-73.53978216648102,4.3,104.0,5.0,9.5,258.0,1.0
18,Parc Maisonneuve (Viau / Sherbrooke),21,0,23,45.56493679334249,-73.5555911064148,4.25,379.0,6.0,8.2,49.0,1.0
19,Parc Kent (de Kent / Hudson),27,0,27,45.5057209331225,-73.62945914268494,3.0,20.0,3.0,,,
20,Métro Champ-de-Mars (Viger / Sanguinet),33,0,35,45.51016276368593,-73.55663707494385,4.208333333333333,55.0,12.0,,,
21,Rachel / de Brébeuf,24,3,29,45.52689,-73.57264,4.1,66.0,5.0,,0.0,2.0
22,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),8,7,15,45.65140583915357,-73.50041270256041,,,,,,
23,Parc St-Laurent (Salk / Thomas-Chapais),13,4,19,45.6062348,-73.6287838,,,,,,
24,Notre-Dame / St-Gabriel,4,10,15,45.50714391928411,-73.55511903762817,4.269230769230769,179.0,13.0,8.0,12.0,2.0
25,Casino de Montréal,21,12,34,45.5063732,-73.52457672,4.0,45.0,1.0,,0.0,2.0
26,La Ronde,2,19,23,45.52156536710626,-73.53533238172531,,,,,,
